epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
126,2635.92,0.93085,0.67924,1.11643,0.82582,0.73374,0.81146,0.60868,0.91262,0.70515,1.00812,0.00087625,0.00087625,0.00087625
127,2657.52,0.90571,0.67281,1.10668,0.88025,0.72644,0.83216,0.61721,0.90929,0.66784,1.01168,0.00087526,0.00087526,0.00087526
128,2678.94,0.91164,0.68148,1.10881,0.88575,0.72657,0.83154,0.59702,0.99278,0.6922,1.03288,0.00087427,0.00087427,0.00087427
129,2700.2,0.92059,0.68128,1.10334,0.87567,0.72555,0.82212,0.59799,0.99893,0.70166,1.0314,0.00087328,0.00087328,0.00087328
130,2721.66,0.92676,0.68292,1.10786,0.85966,0.70572,0.81076,0.60252,0.92193,0.69891,1.03146,0.00087229,0.00087229,0.00087229
131,2743,0.89512,0.66095,1.09334,0.8926,0.70216,0.82497,0.62055,0.91394,0.67864,1.01662,0.0008713,0.0008713,0.0008713
132,2764.64,0.90851,0.68226,1.10542,0.89727,0.71558,0.83305,0.60959,0.95545,0.67472,1.0234,0.00087031,0.00087031,0.00087031
133,2786.41,0.92945,0.68738,1.11621,0.88408,0.72244,0.82302,0.5826,1.02956,0.69,1.04843,0.00086932,0.00086932,0.00086932
134,2808.01,0.91065,0.6696,1.11071,0.8744,0.74142,0.8277,0.61788,0.91029,0.66688,1.01134,0.00086833,0.00086833,0.00086833
135,2830.35,0.90859,0.66917,1.10346,0.89453,0.73393,0.83445,0.61957,0.91902,0.64364,1.01319,0.00086734,0.00086734,0.00086734
136,2852.79,0.91227,0.67437,1.10765,0.88489,0.72401,0.822,0.5993,0.95766,0.67767,1.02917,0.00086635,0.00086635,0.00086635
137,2874.74,0.89547,0.64876,1.10028,0.88448,0.7174,0.82356,0.61226,0.9219,0.6668,1.00658,0.00086536,0.00086536,0.00086536
138,2896.75,0.90841,0.66943,1.10049,0.89974,0.69739,0.81892,0.6004,0.96022,0.69238,1.03825,0.00086437,0.00086437,0.00086437
139,2919.01,0.91224,0.67203,1.10162,0.87213,0.72292,0.8218,0.6101,0.94552,0.67322,1.02164,0.00086338,0.00086338,0.00086338
140,2941.15,0.89609,0.65071,1.09401,0.87997,0.72606,0.82088,0.61612,0.92341,0.67965,1.01694,0.00086239,0.00086239,0.00086239
141,2963.4,0.89751,0.66657,1.10805,0.90319,0.73169,0.8278,0.61551,0.91027,0.6596,0.99885,0.0008614,0.0008614,0.0008614
142,2985.51,0.89244,0.66416,1.09391,0.88103,0.72094,0.82097,0.58985,0.98671,0.68853,1.02348,0.00086041,0.00086041,0.00086041
143,3007.74,0.89775,0.66209,1.09672,0.88561,0.71941,0.82166,0.6068,0.9331,0.6827,1.01197,0.00085942,0.00085942,0.00085942
144,3029.76,0.89905,0.64252,1.09139,0.88734,0.70097,0.81025,0.60195,0.91386,0.69288,1.01439,0.00085843,0.00085843,0.00085843
145,3051.63,0.89185,0.65459,1.08529,0.87416,0.7114,0.81448,0.59407,0.95574,0.68526,1.03771,0.00085744,0.00085744,0.00085744
146,3073.55,0.88198,0.66308,1.09278,0.85202,0.74859,0.8237,0.61851,0.89697,0.66227,0.99857,0.00085645,0.00085645,0.00085645
147,3095.48,0.8894,0.65291,1.0865,0.90165,0.71429,0.82979,0.62627,0.88292,0.67178,0.99789,0.00085546,0.00085546,0.00085546
148,3117.5,0.85477,0.63177,1.08121,0.90318,0.71166,0.8243,0.62067,0.89112,0.65373,1.00147,0.00085447,0.00085447,0.00085447
149,3139.44,0.88187,0.64212,1.08556,0.90155,0.72401,0.82964,0.62863,0.87948,0.64216,0.99164,0.00085348,0.00085348,0.00085348
150,3161.55,0.8838,0.66019,1.09905,0.88951,0.71728,0.82937,0.61931,0.89616,0.6605,0.99856,0.00085249,0.00085249,0.00085249
151,3183.76,0.87743,0.64647,1.0799,0.89903,0.70968,0.81951,0.61527,0.90331,0.66982,1.00445,0.0008515,0.0008515,0.0008515
